Z,N,BE,bet2,bet4,Rch,Edef,Sn,Sp,Qbet,Mcal,Mexp-Mcal,Jexp,Jth,Pexp,Pth
97,157,1890.36844,0.27,0.04,5.967,11.48,4.78,5.97,2.6,83.86,999.99,99.9,0.0,9,-1
97,158,1895.779758,0.26,0.02,5.963,11.03,5.41,5.78,2.16,86.52,999.99,99.9,2.5,9,1
97,159,1900.051076,0.27,0.02,5.978,10.15,4.28,6.21,3.4,90.32,999.99,99.9,3.0,9,-1
97,160,1905.662394,0.25,0.01,5.975,9.98,5.61,6.22,2.13,92.78,999.99,99.9,2.5,9,1
97,161,1910.063712,0.26,0.01,5.984,9.5,4.4,6.19,3.91,96.45,999.99,99.9,2.0,9,1
97,162,1915.01503,0.25,0.0,5.985,8.73,4.96,6.52,3.24,99.57,999.99,99.9,3.5,9,-1
97,163,1918.986348,0.23,-0.01,5.98,8.14,3.97,6.9,4.63,103.67,999.99,99.9,5.0,9,-1
97,164,1924.267666,0.22,-0.03,5.989,7.71,5.28,7.03,3.39,106.46,999.99,99.9,1.5,9,1
97,165,1928.058984,0.21,-0.01,5.989,6.74,3.8,6.95,4.74,110.74,999.99,99.9,6.0,9,1
97,166,1933.060301,0.2,-0.03,5.992,6.59,5.0,7.47,3.76,113.81,999.99,99.9,1.5,9,1
97,167,1936.881619,0.2,-0.03,5.998,5.8,3.82,7.5,4.85,118.06,999.99,99.9,6.0,9,1
97,168,1940.902937,0.19,-0.02,5.996,4.88,4.02,7.31,4.94,122.11,999.99,99.9,1.5,9,1
97,169,1944.494255,0.16,0.0,5.992,4.04,3.59,7.77,5.66,126.59,999.99,99.9,6.0,9,-1
97,170,1948.965573,0.17,-0.03,5.997,3.76,4.46,7.95,5.03,130.19,999.99,99.9,1.5,9,1
97,171,1952.516891,-0.13,0.02,5.997,3.16,3.56,7.71,5.62,134.71,999.99,99.9,1.0,9,-1
97,172,1957.098209,-0.14,0.03,6.003,3.1,4.58,7.84,5.23,138.2,999.99,99.9,3.5,9,-1
97,173,1960.499527,-0.13,0.02,6.007,2.56,3.4,8.16,6.29,142.87,999.99,99.9,1.0,9,-1
97,174,1964.860845,-0.13,0.02,6.013,2.43,4.36,7.96,5.83,146.58,999.99,99.9,3.5,9,-1
97,175,1968.182163,-0.12,0.01,6.017,2.09,3.32,8.25,6.96,151.33,999.99,99.9,1.0,9,-1
